source,column,row_count,available,missing_count,missing_pct,conversion_failures,minimum,maximum,zero_count,negative_count,future_year_count,q1,q3,iqr,below_iqr_count,above_iqr_count
cclass.csv,year,3899,yes,0,0.0,0,1991.0,2020.0,0,0,0,2016.0,2019.0,3.0,64,0
cclass.csv,price,3899,yes,0,0.0,0,1290.0,88995.0,0,0,0,17690.0,28900.0,11210.0,0,80
cclass.csv,mileage,3899,yes,0,0.0,0,1.0,173000.0,0,0,0,6000.0,32458.5,26458.5,0,157
cclass.csv,tax,3899,no,3899,100.0,0,,,0,0,0,,,,0,0
cclass.csv,mpg,3899,no,3899,100.0,0,,,0,0,0,,,,0,0
cclass.csv,engine_size,3899,yes,0,0.0,0,0.0,6.2,1,0,0,2.0,2.1,0.10000000000000009,860,281
focus.csv,year,5454,yes,0,0.0,0,2002.0,2020.0,0,0,0,2016.0,2019.0,3.0,145,0
focus.csv,price,5454,yes,0,0.0,0,495.0,54995.0,0,0,0,10489.25,16987.25,6498.0,2,70
focus.csv,mileage,5454,yes,0,0.0,0,1.0,177644.0,0,0,0,9137.0,30000.0,20863.0,0,342
focus.csv,tax,5454,no,5454,100.0,0,,,0,0,0,,,,0,0
focus.csv,mpg,5454,no,5454,100.0,0,,,0,0,0,,,,0,0
focus.csv,engine_size,5454,yes,0,0.0,0,0.0,2.5,12,0,0,1.0,1.6,0.6000000000000001,12,0
canonical_candidate_combined,year,99187,yes,0,0.0,0,1970.0,2060.0,0,0,1,2016.0,2019.0,3.0,1736,1
canonical_candidate_combined,price,99187,yes,0,0.0,0,450.0,159999.0,0,0,0,9999.0,20870.0,10871.0,0,3669
canonical_candidate_combined,mileage,99187,yes,0,0.0,0,1.0,323000.0,0,0,0,7425.0,32339.0,24914.0,0,3902
canonical_candidate_combined,tax,99187,yes,0,0.0,0,0.0,580.0,6294,0,0,125.0,145.0,20.0,23144,5671
canonical_candidate_combined,mpg,99187,yes,0,0.0,0,0.3,470.8,0,0,0,47.1,62.8,15.699999999999996,187,752
canonical_candidate_combined,engine_size,99187,yes,0,0.0,0,0.0,6.6,273,0,0,1.2,2.0,0.8,0,650
