brand,pearson_correlation,spearman_correlation,observations
Audi,-0.5353570952322908,-0.7091195518050414,10668.0
BMW,-0.6053967672218263,-0.7687693113790532,10781.0
Ford,-0.5306775421035058,-0.5765869883229744,17964.0
Hyundai,-0.44357636946004464,-0.47317636053991147,4860.0
Mercedes-Benz,-0.5372141241046462,-0.7246718590798049,13119.0
Skoda,-0.4805134809025282,-0.5694299748679418,6267.0
Toyota,-0.2979358207386596,-0.3053591963142622,6738.0
Vauxhall,-0.6075492549052762,-0.6193772983999742,13632.0
Volkswagen,-0.517598858926364,-0.6004633364016614,15157.0
