relative_path,filename,file_size_bytes,sha256,row_count,column_count,exact_columns,assigned_brand,source_type,included_in_canonical,exclusion_reason
data/raw/audi.csv,audi.csv,534071,f41fcda6795e500dbba178e44eefd247cfdcd31e2a564fbea2f8baa327167481,10668,9,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]",Audi,canonical_manufacturer,yes,
data/raw/bmw.csv,bmw.csv,592722,7efa367e8c108a7da93490c44a35e4010b8db96c22f3bde5b609562638ea2d98,10781,9,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]",BMW,canonical_manufacturer,yes,
data/raw/ford.csv,ford.csv,933289,48465d469ce740f8ec5e72196b1662145ed7472a764ccf4fde25c0ce0fc2354b,17965,9,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]",Ford,canonical_manufacturer,yes,
data/raw/hyundi.csv,hyundi.csv,248247,b481695ec0c926dae8f830fa3d786efec3150e0c43e543b6f9a8034e33446eb6,4860,9,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax(£)"", ""mpg"", ""engineSize""]",Hyundai,canonical_manufacturer,yes,
data/raw/merc.csv,merc.csv,741167,8091d8c75199db371ea61b7387bcfc245fc5ad97af9f2ea6d0570d58782a3fce,13119,9,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]",Mercedes-Benz,canonical_manufacturer,yes,
data/raw/skoda.csv,skoda.csv,335139,cf7595b8f9bb1274cee4a56b613d8674cf9c5e6bc15141fdf5e74ffdbd1ee127,6267,9,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]",Skoda,canonical_manufacturer,yes,
data/raw/toyota.csv,toyota.csv,347863,078f3d68d4583c5a0b0bd8e6fc6a66195d13ccbaf7ddca831a2c249bff20aeda,6738,9,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]",Toyota,canonical_manufacturer,yes,
data/raw/vauxhall.csv,vauxhall.csv,715396,1a09a3440ab93e2532d2e8ba65fe7e0e30d2ba5f244e9ea9c862c24ec325f69d,13632,9,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]",Vauxhall,canonical_manufacturer,yes,
data/raw/vw.csv,vw.csv,788132,f560dc91f9ab752b53fd318e15c9e95a808b51976fbc9e6783da36d33279fbf1,15157,9,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]",Volkswagen,canonical_manufacturer,yes,
data/raw/cclass.csv,cclass.csv,184852,472642980e032eeb7d81a0dd753303ed92b2ffba828bcd62d29b52eaec99f7ae,3899,7,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""engineSize""]",Mercedes-Benz,legacy_model_file,no,Model-only file overlaps merc.csv and omits tax and mpg.
data/raw/focus.csv,focus.csv,234128,8bf935a4f0bd2dce346dc3bfc529bc59548f334bdc6ab7a933ec3f40075c5a41,5454,7,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""engineSize""]",Ford,legacy_model_file,no,Model-only file overlaps ford.csv and omits tax and mpg.
