legacy_file,manufacturer_file,model_scope,legacy_row_count,manufacturer_scope_row_count,legacy_unique_shared_rows,manufacturer_scope_unique_shared_rows,exact_matching_instances,exact_matching_groups,legacy_unmatched_instances,manufacturer_scope_unmatched_instances,legacy_year_min,legacy_year_max,manufacturer_scope_year_min,manufacturer_scope_year_max,missing_fields_in_legacy,recommendation
cclass.csv,merc.csv,C Class,3899,3747,3797,3681,3594,3533,305,153,1991,2020,2002,2020,"tax, mpg",exclude from canonical dataset
focus.csv,ford.csv,Focus,5454,4588,4758,4548,4361,4324,1093,227,2002,2020,2003,2020,"tax, mpg",exclude from canonical dataset
