brand,car_count,average,median,standard_deviation,minimum,q1,q3,maximum,iqr
Audi,10668,22896.685039370077,20200.0,11714.841888431965,1490,15130.75,27990.0,145000,12859.25
BMW,10781,22733.408867452,20462.0,11415.528189035635,1200,14950.0,27940.0,123456,12990.0
Ford,17964,12280.078434647072,11291.0,4741.318118989155,495,8999.0,15299.0,54995,6300.0
Hyundai,4860,12750.131069958848,11990.0,5992.922310425157,1200,8000.0,15733.75,92000,7733.75
Mercedes-Benz,13119,24698.596920496988,22480.0,11842.675542087629,650,17450.0,28980.0,159999,11530.0
Skoda,6267,14275.449337801181,12998.0,6332.051105913008,995,9495.0,17990.0,91874,8495.0
Toyota,6738,12522.3910655981,10795.0,6345.0175870506855,850,8290.0,14995.0,59995,6705.0
Vauxhall,13632,10406.457893192488,9999.0,3567.387375674937,450,7899.0,12580.75,52489,4681.75
Volkswagen,15157,16838.952365243782,15497.0,7755.015205593202,899,10990.0,20998.0,69994,10008.0
